strategy_name,session_date,direction,signal_type,entry_time,exit_time,entry_price,exit_price,underlying_at_entry,underlying_at_exit,quantity,gross_pnl,net_pnl,charges,pnl_pct,exit_reason,partial_booked,rsi_at_signal,atr_at_signal
AVCS,2026-05-25,CE,VWAP_BOUNCE,2026-05-25 09:35:00,2026-05-25 10:17:00,13.73,28.55,23951.45,23990.0,1,1111.07,1069.48,41.59,107.87,PROFIT_TARGET,0.0,51.35,15.35
AVCS,2026-05-25,CE,VWAP_BOUNCE,2026-05-25 10:17:00,2026-05-25 10:18:00,28.55,9.75,23968.65,23992.5,1,-1409.77,-1451.21,41.44,-65.84,HARD_STOP,0.0,64.88,12.37
AVCS,2026-05-25,CE,VWAP_BOUNCE,2026-05-25 10:18:00,2026-05-25 10:19:00,9.75,30.28,23976.5,23994.0,1,1539.91,1498.41,41.5,210.57,PROFIT_TARGET,0.0,65.95,12.19
AVCS,2026-05-25,CE,VWAP_BOUNCE,2026-05-25 10:19:00,2026-05-25 10:22:00,30.28,9.71,23970.6,23995.0,1,-1543.08,-1584.58,41.5,-67.94,HARD_STOP,0.0,66.6,12.1
AVCS,2026-05-26,CE,ORB_BREAKOUT,2026-05-26 09:37:00,2026-05-26 09:41:00,23.43,26.96,24059.15,24065.0,1,264.13,222.24,41.89,15.03,TRAILING_STOP,0.0,73.98,17.86
AVCS,2026-05-26,CE,ORB_BREAKOUT,2026-05-26 09:41:00,2026-05-26 09:47:00,26.96,17.95,24063.2,24053.2,1,-675.62,-717.3,41.68,-33.42,HARD_STOP,0.0,70.05,17.2
AVCS,2026-05-26,CE,ORB_BREAKOUT,2026-05-26 09:47:00,2026-05-26 09:51:00,17.95,11.59,24055.75,24051.0,1,-477.21,-518.32,41.11,-35.45,HARD_STOP,0.0,60.51,15.25
AVCS,2026-05-26,CE,ORB_BREAKOUT,2026-05-26 09:51:00,2026-05-26 09:58:00,11.59,27.65,24049.35,24005.9,1,1205.08,1163.6,41.47,138.69,PROFIT_TARGET,0.0,58.01,14.48
AVCS,2026-05-27,PE,VWAP_BOUNCE,2026-05-27 09:39:00,2026-05-27 09:42:00,28.12,12.67,23885.25,23968.9,1,-1158.81,-1200.34,41.53,-54.94,HARD_STOP,0.0,47.68,16.72
AVCS,2026-05-27,PE,VWAP_BOUNCE,2026-05-27 09:45:00,2026-05-27 09:46:00,24.94,36.95,23888.15,23935.1,1,900.71,858.39,42.32,48.16,PROFIT_TARGET,0.0,48.82,16.36
AVCS,2026-05-27,PE,VWAP_BOUNCE,2026-05-27 09:46:00,2026-05-27 09:47:00,36.95,18.6,23876.2,23955.5,1,-1375.97,-1418.05,42.08,-49.66,HARD_STOP,0.0,43.92,16.43
AVCS,2026-05-27,PE,VWAP_BOUNCE,2026-05-27 09:47:00,2026-05-27 09:53:00,18.6,32.97,23894.95,23935.1,1,1077.81,1035.87,41.93,77.26,PROFIT_TARGET,0.0,52.0,16.94
LiquiditySweepReversal,2026-05-25,PE,LIQUIDITY_SWEEP,2026-05-25 10:36:00,2026-05-25 10:46:00,24.85,12.38,23982.8,24005.0,1,-935.51,-976.91,41.4,-50.2,HARD_STOP,0.0,61.12,9.56
LiquiditySweepReversal,2026-05-25,PE,LIQUIDITY_SWEEP,2026-05-25 13:03:00,2026-05-25 13:04:00,35.37,10.53,23975.0,23986.9,1,-1862.82,-1904.54,41.72,-70.23,HARD_STOP,0.0,64.46,12.96
LiquiditySweepReversal,2026-05-26,PE,LIQUIDITY_SWEEP,2026-05-26 10:26:00,2026-05-26 10:34:00,8.51,28.95,24072.45,24069.7,1,1533.11,1491.71,41.4,240.21,PROFIT_TARGET,0.0,60.8,10.64
LiquiditySweepReversal,2026-05-26,CE,LIQUIDITY_SWEEP,2026-05-26 11:18:00,2026-05-26 11:24:00,18.15,7.47,24061.7,24041.2,1,-801.27,-842.23,40.96,-58.86,HARD_STOP,0.0,43.87,8.06
LiquiditySweepReversal,2026-05-27,CE,LIQUIDITY_SWEEP,2026-05-27 10:00:00,2026-05-27 10:02:00,36.69,11.69,23874.75,23944.4,1,-1875.16,-1916.98,41.81,-68.14,HARD_STOP,0.0,42.09,14.93
LiquiditySweepReversal,2026-05-27,PE,LIQUIDITY_SWEEP,2026-05-27 10:06:00,2026-05-27 10:08:00,12.71,24.25,23913.15,23997.0,1,865.94,824.55,41.39,90.87,PROFIT_TARGET,0.0,62.68,15.88
