event_type,timestamp,trade_id,strategy,symbol,option_type,strike,expiry,lots,quantity,entry_time,entry_price,entry_spot,exit_time,exit_price,gross_pnl,charges,net_pnl,pnl_pct,exit_reason,hold_min,signal_reason
ENTRY,2026-06-08 13:45:15,b312c2f0-3b9b-4aed-a2b3-6b9297f5727e,DailyMomentumDrive,NIFTY09JUN2623250PE,PE,23250,2026-06-09,1,75,13:45:15,147.00,23228.90,,,,,,,,,DMD_MIDDAY_MOMENTUM
EXIT,2026-06-08 13:45:30,b312c2f0-3b9b-4aed-a2b3-6b9297f5727e,DailyMomentumDrive,NIFTY09JUN2623250PE,PE,23250,2026-06-09,1,75,13:45:15,147.00,23228.90,13:45:30,145.36,-123.10,66.74,-189.84,-1.1,UNDERLYING_STOP,0.2,DMD_MIDDAY_MOMENTUM
ENTRY,2026-06-08 13:48:00,7b4b4cf3-b5d5-42c8-a639-9abd9c804493,BollingerReversion,NIFTY09JUN2623200CE,CE,23200,2026-06-09,1,75,13:48:00,97.04,23220.40,,,,,,,,,BOLLINGER_REVERSION
ENTRY,2026-06-08 13:48:54,e8bf00db-4324-4e00-abca-4e84fcee9e00,LiquiditySweepReversal,NIFTY09JUN2623250CE,CE,23250,2026-06-09,1,75,13:48:54,79.15,23235.70,,,,,,,,,LIQUIDITY_SWEEP_REVERSAL
ENTRY,2026-06-08 14:40:01,b8653592-9362-4519-a67d-a8bc92c3612b,EMATrendRide,NIFTY09JUN2623200PE,PE,23200,2026-06-09,1,75,14:40:01,124.35,23209.00,,,,,,,,,EMA_TREND_RIDE
EXIT,2026-06-08 14:44:47,b8653592-9362-4519-a67d-a8bc92c3612b,EMATrendRide,NIFTY09JUN2623200PE,PE,23200,2026-06-09,1,75,14:40:01,124.35,23209.00,14:44:47,117.81,-490.50,63.29,-553.79,-5.3,UNDERLYING_STOP,4.8,EMA_TREND_RIDE
ENTRY,2026-06-08 14:59:01,996b0315-42f5-4de5-84e1-8c2876d8a5d4,EMATrendRide,NIFTY09JUN2623200PE,PE,23200,2026-06-09,1,75,14:59:01,110.50,23223.00,,,,,,,,,EMA_TREND_RIDE
EXIT,2026-06-08 14:59:03,996b0315-42f5-4de5-84e1-8c2876d8a5d4,EMATrendRide,NIFTY09JUN2623200PE,PE,23200,2026-06-09,1,75,14:59:01,110.50,23223.00,14:59:03,111.08,43.50,62.04,-18.54,0.5,UNDERLYING_STOP,0.0,EMA_TREND_RIDE
ENTRY,2026-06-08 15:07:00,87d1b289-c13a-4625-aef4-a19757dd184f,BollingerReversion,NIFTY09JUN2623200CE,CE,23200,2026-06-09,1,75,15:07:00,68.70,23186.10,,,,,,,,,BOLLINGER_REVERSION
EXIT,2026-06-08 15:15:01,87d1b289-c13a-4625-aef4-a19757dd184f,BollingerReversion,NIFTY09JUN2623200CE,CE,23200,2026-06-09,1,75,15:07:00,68.70,23186.10,15:15:01,67.76,-70.50,56.32,-126.82,-1.4,EMERGENCY: Intraday hard close 15:15,8.0,BOLLINGER_REVERSION
